rating,review,split
negative,"the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendly… alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown . 
",train
negative,"i'm not saying that ice age doesn't have some fairly pretty pictures , but there's not enough substance in the story to actually give them life . 
",train
negative,"the worst film of the year . 
",train
negative,"what can one say about a balding 50-year-old actor playing an innocent boy carved from a log ? 
",train
negative,"it's supposed to be post-feminist breezy but ends up as tedious as the chatter of parrots raised on oprah . 
",train
negative,"more likely to have you scratching your head than hiding under your seat . 
",train
negative,"what puzzles me is the lack of emphasis on music in britney spears' first movie . 
",train
negative,"in the end , tuck everlasting falls victim to that everlasting conundrum experienced by every human who ever lived : too much to do , too little time to do it in . 
",train
negative,"we just don't really care too much about this love story . in that setting , their struggle is simply too ludicrous and borderline insulting . 
",train
negative,"report card : doesn't live up to the exalted tagline - there's definite room for improvement . doesn't deserve a passing grade ( even on a curve ) . 
",train
negative,"the piquant story needs more dramatic meat on its bones . 
",train
negative,"a modestly comic , modestly action-oriented world war ii adventure that , in terms of authenticity , is one of those films that requires the enemy to never shoot straight . 
",train
negative,"isn't it a bit early in his career for director barry sonnenfeld to do a homage to himself ? and it's a lousy one at that . 
",train
negative,"cruel and inhuman cinematic punishment . . . simultaneously degrades its characters , its stars and its audience . 
",train
negative,"so faithful to the doldrums of the not-quite-urban , not-quite-suburban milieu as to have viewers recoiling from the reality check . 
",train
negative," . . . an incredibly heavy-handed , manipulative dud that feels all too familiar . 
",train
negative,"whereas last year's exemplary sexy beast seemed to revitalize the british gangster movie , this equally brutal outing merely sustains it . 
",train
negative,"this overproduced and generally disappointing effort isn't likely to rouse the rush hour crowd . 
",train
negative,"kim ki-deok seems to have in mind an ( emotionally at least ) adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested . 
",train
negative,"with a tighter editorial process and firmer direction this material could work , especially since the actresses in the lead roles are all more than competent , but as is , personal velocity seems to be idling in neutral . 
",train
negative,"too much of nemesis has a tired , talky feel . 
",train
negative,"the only upside to all of this unpleasantness is , given its labor day weekend upload , feardotcom should log a minimal number of hits . 
",train
negative,"a recipe for cinematic disaster . . . part quentin tarantino , part guy ritchie , and part 1960s spy spoof , it's all bad . 
",train
negative,"off the hook is overlong and not well-acted , but credit writer-producer-director adam watstein with finishing it at all . 
",train
negative,"more of a career curio than a major work . 
",train
negative,"the problems of the people in love in the time of money are hardly specific to their era . they just have problems , which are neither original nor are presented in convincing way . 
",train
negative,"this time kaufman's imagination has failed him . 
",train
negative,"scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company . 
",train
negative,"the attempt is courageous , even if the result is wildly uneven . 
",train
negative,"due to some script weaknesses and the casting of the director's brother , the film trails off into inconsequentiality . 
",train
negative,"putting the primitive murderer inside a high-tech space station unleashes a pandora's box of special effects that run the gamut from cheesy to cheesier to cheesiest . 
",train
negative,"two-bit potboiler . 
",train
negative,"handsome and sincere but slightly awkward in its combination of entertainment and evangelical boosterism . 
",train
negative,"abandons all pretense of creating historical context and waltzes off into a hectic soap about the ups and downs of the heavy breathing between the two artists . 
",train
